Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,COALINDIA,DRREDDY,HDFC,HDFCBANK,HEROMOTOCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAMTRDVR,TATASTEEL,TCS,WIPRO,YESBANK
2000-01-03,,0.850866,0.926595,,,,337.976227,2.644223,,,146.406219,2.93736,,43.023453,0.000813,0.305198,39.011562,6.040394,,,0.08036599999999999,,20.416292,,1.396498,13.436938,,45.728123,,55.713734,
2000-01-04,,0.850974,0.962371,,,,357.48642,2.60056,24.146309,,138.679321,2.86348,,46.40633,0.000808,0.329568,40.548496,6.523179,,,0.078441,,22.04653,,1.3553879999999998,12.972515,,45.414127,,60.169895,
2000-01-05,,0.8422459999999999,0.937328,,,,338.334778,2.499963,,,134.087311,2.694355,,42.69379,0.0008269999999999999,0.31537,37.305897,6.991973,,,0.08470599999999999,,23.098282,3.358529,1.310084,13.121153,,46.909481,,59.444706,
2000-01-06,,0.8291540000000001,0.914073,,,,365.397156,2.517942,23.244299,,141.097824,2.688518,,39.278416,0.000893,0.306495,37.494213,6.8987479999999985,,,0.083026,,23.701031,,1.309135,13.715594,,50.24416400000001,,57.918606,
2000-01-07,,0.8357,0.8693540000000001,,,,336.175873,2.440032,23.521843,,145.518448,2.566052,,36.136314,0.000964,0.281989,35.34993,6.6317270000000015,,,0.07946,,25.363615,,1.2151299999999998,14.811587,,50.782452,,53.285912,
2000-01-10,,0.902469,0.896185,,,,325.758911,2.457154,23.167971,,149.942078,2.719631,,37.596535,0.001042,0.259463,33.660336,6.625728,,,0.07900700000000001,,24.857956,,1.159061,15.994307,,53.803112,,52.920151,
2000-01-11,,0.916434,0.851466,,,,314.679535,2.4182,,,150.006363,2.698248,,34.588997,0.000997,0.238711,32.360847,7.111837,,,0.075101,,23.345036,,1.072229,14.715621,,49.511414,,49.784225,
2000-01-12,,0.914688,0.855043,,,,323.143341,2.425049,22.827982,,162.003784,2.912086,,35.678452,0.001012,0.219666,31.636234,6.543156,,,0.075309,,24.578856,3.293707,1.034476,14.892077,,49.705811,,50.976295,
2000-01-13,,0.914252,0.84431,,,,320.355042,2.414348,22.897367000000006,,170.088837,3.073425,,33.002834,0.000991,0.223898,29.472359,6.632387,,,0.07396900000000001,,24.959101,3.288297,1.117196,14.427688,,47.25341,,48.982872,
2000-01-14,,0.897016,0.837155,,,,322.275238,2.466573,,,164.976379,3.110377,,33.153713,0.001009,0.216389,30.086426,6.912067,,,0.072761,,25.557781,,1.206559,14.799213,,47.552483,,49.191135,
2000-01-17,,0.907706,0.90334,,,,324.737946,2.589859,24.722219,,159.15979,3.357253,,32.518963,0.000929,0.210246,30.898766,7.464766,,,0.07359199999999999,,24.999535,,1.2863,15.54226,,49.795506,,53.125237,
2000-01-18,,0.913924,0.8997629999999999,,,,319.453888,2.645509,,,157.047455,3.285317,,33.589989,0.000944,0.210246,29.89139,7.857647999999998,,,0.07170499999999999,,25.889503,3.2336080000000003,1.2556379999999998,15.418443,,52.60671600000001,,54.546608,
2000-01-19,,0.909888,0.912284,,,,345.008545,2.585578,,,154.00143400000005,3.54776,,35.673523,0.000932,0.227038,30.356039000000006,7.924236,,,0.07245900000000001,,25.646776000000006,,1.283657,15.46487,,50.842361,,55.04249599999999,
2000-01-20,,0.915889,0.8693540000000001,,,,334.645386,2.482839,24.840174,,154.904526,3.738269,,34.666611,0.000889,0.245128,29.618567,7.631239999999999,,,0.072648,,25.157295,3.193776,1.257526,14.427688,,48.090832,,55.449116,
2000-01-21,,0.937925,0.890819,,,,339.853882,2.534209,26.824614,,154.598419,3.926831,,37.142536,0.000935,0.264719,29.306547,7.2649940000000015,,,0.072214,,26.366846,3.174869,1.358102,14.306941,,47.971199,,59.884251,
2000-01-24,,1.012877,0.901552,,,,332.69223,2.517514,,,157.751556,4.239825,,39.243286,0.0008990000000000002,0.28588,28.845238,6.8987479999999985,,,0.072573,,26.548864,,1.44173,13.164482,,45.309456,,64.674461,
2000-01-25,,1.082264,0.887241,,,,321.190155,2.628386,,,156.129059,4.578074,,39.627392,0.0008289999999999999,0.282603,28.006994,6.8055210000000015,,,0.072101,,26.176697,,1.50791,12.111819,,44.995419,,69.847473,
2000-01-26,,1.082264,0.887241,,,,,2.628386,30.189829,,242.15303,4.578074,,,0.0006219999999999999,,,13.611043,,,0.108152,,26.176697,3.065477,,12.640477,,76.366302,,139.694519,
2000-01-27,,1.044518,0.951638,,,,317.934845,2.8385700000000003,31.910612,,156.741287,4.943543,,40.110386,0.000865,0.28158,27.22072,6.673674,,,0.077686,,26.941257,,1.434669,11.145851,,44.187946,,75.43502,
2000-01-28,,1.049535,1.026767,,,,310.122101,2.8253,,,152.155441,5.33816,,41.438709,0.0008029999999999999,0.304037,27.350664,6.832156,,,0.078026,,27.163761,,1.449771,10.799077,,42.976704,,81.468864,
2000-01-31,,1.003713,1.107263,,,,298.403046,4.090543,32.63221,,149.302216,5.763889,,39.545025,0.00079,0.328264,26.090031,6.7522509999999984,,,0.079554,,26.617626,,1.486769,11.207761,,41.87011,,78.84468100000002,
2000-02-01,,1.004258,1.194914,,,,308.820038,4.275416000000001,33.242813,,141.13765,6.224624,,40.428818,0.0008029999999999999,0.35289,26.63588,6.579115,,,0.08163,,27.446928000000003,,1.605701,11.06843,,42.39349,,85.151054,
2000-02-02,,0.993348,1.28972,,,,325.856171,4.262519,,,148.659348,6.720343,,40.286015,0.000807,0.336012,26.999769,7.105177,,,0.080951,,27.329601,3.3119410000000005,1.6862990000000002,11.08394,,41.885086,,91.962433,
2000-02-03,,0.993348,1.391681,,,,322.438446,4.23795,,,148.475662,6.720343,,40.889679,0.000796,0.310696,27.665833000000006,6.912067,,,0.078555,,27.61277,3.45036,1.675922,11.021999,,41.571045,,98.778984,
2000-02-04,,1.003713,1.502586,,,,319.671021,4.23795,31.986937,,143.026474,5.690029,,43.052254,0.000776,0.312844,27.357189,6.745592,,,0.08000800000000001,,27.366016,3.403085,1.578896,11.08394,,41.586018,,104.510132,
2000-02-07,,0.995205,1.422091,,,,294.105988,4.397641,,,141.740692,6.104104,,46.496265,0.0008380000000000001,0.291518,28.127209000000004,6.804862,,,0.0818,,27.831196,,1.632506,11.090112,,41.840214,,103.142303,
2000-02-08,,1.01397,1.384526,,,,304.110626,4.32148,34.831753000000006,,142.04681399999996,5.987456,,48.73840300000001,0.0008710000000000001,0.28538,30.375624,7.348897999999998,,,0.08010199999999999,,27.863544,3.308564,1.691401,11.362566,,42.916855,,97.663048,
2000-02-09,,0.999349,1.318341,,,,306.4328,4.029124,,,147.557251,6.137142,,47.635242,0.000941,0.270191,28.851751,7.045249,,,0.079951,,27.952541,,1.623445,11.282077,,42.752388,,103.142303,
2000-02-10,,0.977749,1.422091,,,,307.083893,3.979375,34.831753000000006,,141.970276,6.627025,,50.631912,0.001016,0.260908,30.411304,7.6086,,,0.077932,,29.469524,,1.619741,11.145851,,42.31871,,111.392929,
2000-02-11,,0.994985,1.484698,,,,302.743439,4.297526,,,143.577576,6.104104,,54.682224,0.001016,0.259834,30.086426,8.216574000000001,,,0.07170499999999999,,28.923433000000006,3.343672,1.578141,10.282051,,41.496273,,120.303665,
2000-02-14,,0.957783,1.366638,,,,296.232758,4.366931,,,141.679459,6.592039,,59.056541,0.001053,0.239121,28.526852,8.390369999999999,,,0.07170499999999999,,28.518879,,1.604569,9.963164,,40.643929,,129.927658,
2000-02-15,,0.919925,1.282565,,,,297.317871,4.118181,32.056313,,142.965256,6.607586,,54.775833,0.001138,0.236283,27.162235,7.7377850000000015,,,0.068346,,28.16293,3.3889150000000003,1.562204,10.340859,,40.225227,,140.32132,
2000-02-16,,0.8727940000000001,1.370216,,,,297.317871,4.1642470000000005,,,141.679459,6.936127000000001,,54.608612,0.001112,0.255078,27.812044,7.119157,,,0.07019500000000001,,27.912106,,1.566816,10.155097,,40.299999,,151.54599,
2000-02-17,,0.861884,1.341595,,,,321.092926,4.145821,,,142.29170200000004,6.9633270000000005,,56.349323,0.001164,0.275407,27.909506,6.928048,,,0.070403,,28.599787,,1.692115,10.217041,,40.404652,,163.669235,
2000-02-18,,0.8531559999999999,1.261099,,,,346.776886,3.967703,34.137894,,152.455429,6.805878,,54.007439,0.001132,0.256229,27.09726,6.762244,,,0.065704,,28.316616,3.249137,1.827465,9.511118,,39.552326,,176.762436,
2000-02-21,,0.875957,1.286142,,,,336.598633,3.944364,,,164.648804,6.683413000000002,,56.394997,0.001116,0.266355,25.960085,6.754242,,,0.066629,,28.110348,3.324765,1.970784,10.269644,,40.120564,,190.892914,
2000-02-22,,0.8721409999999999,1.237845,,,,321.190155,3.844863,,,177.818771,6.415132,,54.830788,0.001089,0.259297,25.017859,6.806853,,,0.065176,,27.588507,,1.997967,11.090112,,40.344864,,175.62188700000004,
2000-02-23,,0.8729020000000001,1.205646,,,,346.874023,4.151964,,,175.72174099999995,6.045771,,50.444519,0.001002,0.24242,23.198359,6.846808,,,0.066025,,26.617626,,1.944357,10.381122,,38.042,,161.572678,
2000-02-24,,0.875084,1.300452,,,,337.683716,4.336221,,,189.776398,5.676429,,52.11111500000001,0.000972,0.233214,23.841671,6.977326,,,0.063025,,27.135435,3.254532,2.099154,10.402802,,38.131687,,148.647308,
2000-02-25,,0.8400639999999999,1.400625,,,,338.551758,4.682627,31.376333,,189.742737,6.12936,,47.947708,0.000919,0.214572,24.527243,6.525844,,,0.059420000000000014,,26.059376,3.18702,2.018352,11.232545,,37.832623,,136.756134,
2000-02-28,,0.879232,1.420302,,,,365.614227,5.056674,31.639996000000004,,187.991669,6.61924,,46.927273,0.000921,0.223625,25.017859,6.798863000000001,,,0.06377999999999999,,27.386209,,2.179793,11.390451,,40.225227,,137.754639,
2000-02-29,,0.818244,1.309397,,,,336.3703,4.816522,30.196768,,177.558594,6.531781,,47.775768,0.0008470000000000001,0.210199,23.019657,6.3939949999999985,,,0.0621,,25.197771,,2.005486,10.480187,,37.010178,,130.911484,
2000-03-01,,0.8727940000000001,1.413147,,,,326.181549,5.201622,,,183.681229,7.052753999999998,,51.597721,0.0008539999999999999,0.22699999999999998,22.905935,6.2288510000000015,,,0.064836,,25.691275,3.18702,1.871902,9.907426,,37.02515,,141.383682,
2000-03-02,,0.8313360000000001,1.336228,,,,300.095734,5.6174339999999985,,,168.989838,7.616516000000002,,55.725304,0.0008039999999999999,0.245105,21.076729,5.730755,,,0.060647,,23.636293,,1.891502,9.117912,,34.064353999999994,,143.804382,
2000-03-03,,0.8291540000000001,1.266465,,,,276.093323,5.589183,38.016567,,159.92514,8.224969,,60.183239,0.0007610000000000001,0.260832,19.591894,5.272615,,,0.056458,,21.77145,,1.740215,8.390344,,31.79137,,132.317017,
2000-03-06,,0.864066,1.250366,,,,284.9477540000001,5.404922,,,151.50647,8.88205,,64.997726,0.000822,0.281621,21.157959,5.367172,,,0.060006,,21.108032,,1.60064,8.54515,,31.013809,,138.417099,
2000-03-07,,0.850974,1.196703,,,,302.526398,4.999552,36.392941,,151.46356200000002,9.202807,,70.197357,0.0008880000000000002,0.30409899999999995,20.452888,4.938332,,,0.057345000000000014,,19.979387,2.821732,1.472647,8.173625,,29.548357,,131.556168,
2000-03-08,,0.8727940000000001,1.101896,,,,282.126434,5.036404,,,152.975876,8.475757000000002,,67.994553,0.000901,0.29496999999999995,19.513906,4.614703,,,0.057251,,18.980225,,1.998428,7.802102,,27.18565,,133.425827,
2000-03-09,,0.8727940000000001,1.014246,,,,259.567657,4.815292,,,155.21946699999995,7.799239999999998,,64.314316,0.000934,0.271418,19.364454,4.245792,,,0.056647,,18.527193,,2.062033,8.424399000000001,,28.636179,,125.595711,
2000-03-10,,0.874976,1.0196120000000002,,,,280.325165,4.7919550000000015,35.525608,,157.016251,8.304687,,64.216148,0.001009,0.249708,17.817894,4.584732,,,0.054024,,17.778799,2.309237,2.005627,8.018819,,27.529589,,126.468468,
2000-03-13,,0.874976,0.989203,,,,302.743439,4.7919550000000015,,,165.55687,8.304687,,59.079201,0.000973,0.229762,16.394821,4.950989,,,0.052835,,16.464113,2.234969,2.066734,7.486283999999999,,27.215593,,116.351707,
2000-03-14,,0.8727940000000001,1.066121,,,,326.952454,4.914793,37.315773,,178.798141,7.892557000000001,,54.35289,0.000963,0.211427,17.704174,4.894382,,,0.055477,,17.774732999999994,,2.232042,8.08383,,29.38385,,107.828583,
