Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.4375,24.6875,23.4375,24.371901,0.850866,238128.0
2000-01-04,23.75,24.4688,23.375,24.375,0.850974,222840.0
2000-01-05,24.0625,24.125,23.4562,24.125,0.8422459999999999,168648.0
2000-01-06,24.0,24.0625,23.565599,23.75,0.8291540000000001,127728.0
2000-01-07,23.4375,24.25,23.4375,23.9375,0.8357,3416664.0
2000-01-10,25.0,25.85,25.0,25.85,0.9024690000000001,831960.0
2000-01-11,26.5625,26.5625,25.0812,26.25,0.916434,987984.0
2000-01-12,26.1875,26.9375,25.75,26.200001,0.914688,503808.0
2000-01-13,26.4375,26.6562,25.625,26.1875,0.9142520000000001,570192.0
2000-01-14,26.0625,26.0625,25.4375,25.6938,0.897016,2062872.0
2000-01-17,26.5625,27.1875,25.625,26.0,0.9077059999999999,318264.0
2000-01-18,26.25,26.5,25.753099,26.178101,0.913924,878184.0
2000-01-19,25.875,26.5625,25.875,26.0625,0.9098879999999999,676344.0
2000-01-20,26.1562,26.3125,25.9375,26.2344,0.915889,628656.0
2000-01-21,26.25,27.8125,26.0375,26.865601,0.937925,947640.0
2000-01-24,28.125,29.012501,28.125,29.012501,1.012877,3098976.0
2000-01-25,29.5,31.0625,29.375,31.0,1.082264,2324472.0
2000-01-26,31.0,31.0,31.0,31.0,1.082264,0.0
2000-01-27,31.0,31.3125,29.190599,29.9188,1.044518,1120776.0
2000-01-28,29.934401,30.1875,29.2812,30.0625,1.049535,654480.0
2000-01-31,30.0,30.0,28.75,28.75,1.0037129999999999,931728.0
2000-02-01,28.7812,29.125,28.75,28.7656,1.004258,1702560.0
2000-02-02,28.9937,29.375,28.4438,28.4531,0.993348,327264.0
2000-02-03,28.4531,28.4531,28.4531,28.4531,0.993348,0.0
2000-02-04,28.753099,29.0625,28.4375,28.75,1.0037129999999999,1194744.0
2000-02-07,28.75,29.6875,28.2563,28.5063,0.9952049999999999,196512.0
2000-02-08,27.3906,29.125,27.3906,29.0438,1.01397,558432.0
2000-02-09,28.625,28.996901,28.315599,28.625,0.9993489999999999,83712.0
2000-02-10,28.3125,28.3188,27.8125,28.0063,0.977749,75528.0
2000-02-11,27.625,28.5,27.1875,28.5,0.994985,116400.0
2000-02-14,26.875,28.75,26.875,27.434401,0.9577829999999999,131640.0
2000-02-15,27.0,27.5,25.375,26.35,0.919925,188520.0
2000-02-16,25.315599,26.2344,25.0,25.0,0.8727940000000001,1235400.0
2000-02-17,25.0,25.3062,24.2812,24.6875,0.861884,321816.0
2000-02-18,24.4375,24.996901,24.375,24.4375,0.8531559999999999,173712.0
2000-02-21,24.9375,26.3062,24.3813,25.090598999999997,0.875957,443712.0
2000-02-22,23.815599,25.3125,23.815599,24.9813,0.8721409999999999,68328.0
2000-02-23,24.9375,25.299999,24.875,25.003099,0.8729020000000001,109752.0
2000-02-24,25.490601,25.490601,24.875,25.065599,0.875084,88608.0
2000-02-25,24.9844,25.0625,23.8813,24.0625,0.8400639999999999,300960.0
2000-02-28,24.5,25.1875,24.375,25.184401,0.879232,61872.0
2000-02-29,25.0,25.5,23.375,23.4375,0.818244,92376.0
2000-03-01,23.7437,25.0,22.8813,25.0,0.8727940000000001,74448.0
2000-03-02,24.875,25.125,23.8125,23.8125,0.8313360000000001,184896.0
2000-03-03,23.8125,24.0625,22.8125,23.75,0.8291540000000001,99624.0
2000-03-06,24.5,25.0,24.0625,24.75,0.864066,1431720.0
2000-03-07,24.2969,24.5,23.440599,24.375,0.850974,1577400.0
2000-03-08,23.8125,25.0,23.75,25.0,0.8727940000000001,1802088.0
2000-03-09,24.0625,25.621901,24.0625,25.0,0.8727940000000001,911040.0
2000-03-10,25.0,25.3125,24.75,25.0625,0.874976,319200.0
2000-03-13,25.0625,25.0625,25.0625,25.0625,0.874976,0.0
2000-03-14,25.003099,25.375,24.875,25.0,0.8727940000000001,839736.0
2000-03-15,25.2313,25.9375,25.2313,25.625,0.8946139999999999,182376.0
2000-03-16,25.5,26.246901,25.0938,25.3125,0.883704,1539888.0
2000-03-17,25.3125,25.3125,25.3125,25.3125,0.883704,0.0
2000-03-20,25.3125,25.3125,25.3125,25.3125,0.883704,0.0
2000-03-21,25.625,27.315599,25.3125,27.315599,0.953635,170232.0
2000-03-22,26.4375,27.0,26.1562,26.3312,0.919268,89520.0
2000-03-23,26.450001,26.450001,25.75,25.9375,0.905524,110880.0
2000-03-24,25.8125,26.25,25.625,26.0625,0.9098879999999999,99480.0
2000-03-27,26.190599,26.5,25.9375,26.0,1.1791690000000001,141696.0
2000-03-28,25.9375,26.4062,25.825001,26.303101,1.192916,118560.0
2000-03-29,26.4375,26.4375,25.75,25.996901,1.179028,95760.0
2000-03-30,25.9375,27.1875,25.8125,26.865601,1.2184270000000001,186168.0
2000-03-31,26.125,26.653098999999997,25.9688,26.5625,1.20468,114792.0
2000-04-03,25.3125,26.25,25.3125,25.75,1.1678309999999998,446256.0
2000-04-04,24.5156,26.0,24.5156,25.725,1.1666969999999999,192576.0
2000-04-05,25.6437,26.25,25.625,25.9375,1.1763350000000001,153528.0
2000-04-06,25.875,25.875,25.375,25.4688,1.155078,127464.0
2000-04-07,25.5625,26.5625,25.3438,25.6187,1.1618760000000001,145152.0
2000-04-10,23.625,26.3125,23.625,25.9219,1.175627,1366608.0
2000-04-11,25.9219,25.9219,25.9219,25.9219,1.175627,0.0
2000-04-12,27.0,27.1875,26.5063,26.528098999999997,1.20312,834312.0
2000-04-13,26.3125,26.5625,25.75,26.5625,1.20468,104928.0
2000-04-14,26.5625,26.5625,26.5625,26.5625,1.20468,0.0
2000-04-17,24.8438,26.375,24.8438,26.0625,1.182004,152736.0
2000-04-18,25.625,26.0625,25.625,26.059401,1.1818629999999999,24888.0
2000-04-19,25.821899,25.9312,25.375,25.625,1.1621620000000001,141360.0
2000-04-20,25.5562,26.496901,25.1875,25.9375,1.1763350000000001,182616.0
2000-04-21,25.9375,25.9375,25.9375,25.9375,1.1763350000000001,0.0
2000-04-24,25.9375,25.9375,25.9375,25.9375,1.1763350000000001,0.0
2000-04-25,25.3438,25.625,24.5312,25.625,1.1621620000000001,106704.0
2000-04-26,25.625,25.625,25.625,25.625,1.1621620000000001,0.0
2000-04-27,25.75,25.75,25.4375,25.625,1.1621620000000001,68160.0
2000-04-28,25.8687,25.8687,25.375,25.3813,1.15111,75888.0
2000-05-01,25.3813,25.3813,25.3813,25.3813,1.15111,0.0
2000-05-02,25.065599,25.3687,24.5,25.125,1.139486,88392.0
2000-05-03,25.125,25.125,25.125,25.125,1.139486,0.0
2000-05-04,24.75,25.0,24.0625,24.375,1.1054709999999999,308832.0
2000-05-05,24.375,24.375,24.375,24.375,1.1054709999999999,0.0
2000-05-08,25.0,25.3188,24.759399,24.8438,1.126732,67008.0
2000-05-09,24.8438,24.8438,24.8438,24.8438,1.126732,0.0
2000-05-10,25.0,25.0,24.25,24.746901,1.1223379999999998,93816.0
2000-05-11,24.375,24.5,24.0625,24.25,1.099802,46968.0
2000-05-12,23.8125,24.1406,23.25,23.25,1.054449,110712.0
2000-05-15,23.0,23.75,21.9375,23.4531,1.063661,172152.0
2000-05-16,23.6875,24.0625,23.375,23.6875,1.0742909999999999,82896.0
2000-05-17,23.190599,24.0625,23.134399,23.134399,1.049207,67056.0
2000-05-18,23.1562,23.4688,23.1562,23.1875,1.051615,21624.0
2000-05-19,23.4219,24.0625,22.2812,22.2875,1.010797,140088.0
2000-05-22,22.3125,22.8125,21.875,22.262501,1.009663,147528.0
2000-05-23,23.2125,24.9312,22.5625,24.8125,1.125313,1429656.0
2000-05-24,26.5625,27.5,24.3125,26.253099,1.190648,1518888.0
2000-05-25,26.3125,27.3687,26.128099,26.128099,1.184979,444864.0
2000-05-26,26.0938,26.6875,25.753099,26.4375,1.199011,474984.0
2000-05-29,27.5,27.5,26.503099,26.5688,1.204966,512976.0
2000-05-30,27.125,27.125,25.9375,25.9375,1.1763350000000001,579000.0
2000-05-31,26.25,27.375,26.190599,26.5625,1.20468,776880.0
2000-06-01,26.3188,26.875,26.3125,26.8125,1.216018,330792.0
2000-06-02,26.75,26.7969,26.134399,26.5,1.201846,503496.0
2000-06-05,26.75,27.0625,25.946899,26.2875,1.192208,169968.0
2000-06-06,25.690599,26.375,25.690599,26.049999,1.181437,161688.0
2000-06-07,26.25,26.5,25.9375,26.034401000000003,1.1807290000000001,129648.0
2000-06-08,26.125,26.125,25.7563,25.8531,1.172507,60456.0
2000-06-09,25.75,25.934401,25.6562,25.7938,1.169818,141744.0
2000-06-12,26.0,26.0,25.3563,25.4813,1.155645,143568.0
2000-06-13,25.1875,26.0,25.0,25.5187,1.157341,53424.0
2000-06-14,25.875,25.875,25.5,25.5469,1.15862,49128.0
2000-06-15,25.378099,25.559401,25.190599,25.475,1.155359,45312.0
2000-06-16,25.4375,25.6187,25.1875,25.3687,1.1505379999999998,153936.0
2000-06-19,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-06-20,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-06-21,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-06-22,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-06-23,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-06-26,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-06-27,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-06-28,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-06-29,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-06-30,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-03,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-04,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-05,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-06,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-07,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-10,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-11,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-12,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-13,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-14,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-17,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-18,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-19,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-20,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-21,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-24,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-25,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-26,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-27,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
2000-07-28,25.3687,25.3687,25.3687,25.3687,1.1505379999999998,0.0
