Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.1,5.18,5.1,5.18,0.9265950000000001,82500.0
2000-01-04,5.4,5.51,5.08,5.38,0.9623709999999999,494000.0
2000-01-05,5.01,5.42,5.0,5.24,0.937328,383000.0
2000-01-06,5.3,5.3,5.0,5.11,0.9140729999999999,164500.0
2000-01-07,5.0,5.22,4.8,4.86,0.8693540000000001,149000.0
2000-01-10,5.15,5.24,5.0,5.01,0.896185,214000.0
2000-01-11,5.0,5.1,4.62,4.76,0.851466,174000.0
2000-01-12,4.74,4.9,4.72,4.78,0.855043,85000.0
2000-01-13,4.8,4.9,4.7,4.72,0.84431,75500.0
2000-01-14,4.63,4.72,4.6,4.68,0.837155,83000.0
2000-01-17,5.0,5.05,5.0,5.05,0.9033399999999999,258500.0
2000-01-18,5.3,5.3,4.95,5.03,0.8997629999999999,249500.0
2000-01-19,5.2,5.2,5.0,5.1,0.912284,126000.0
2000-01-20,5.1,5.18,4.8,4.86,0.8693540000000001,197000.0
2000-01-21,4.8,5.0,4.8,4.98,0.890819,270500.0
2000-01-24,5.1,5.36,4.98,5.04,0.901552,381000.0
2000-01-25,4.98,5.1,4.94,4.96,0.887241,305500.0
2000-01-26,4.96,4.96,4.96,4.96,0.887241,0.0
2000-01-27,4.9,5.35,4.9,5.32,0.9516379999999999,391000.0
2000-01-28,5.51,5.74,5.4,5.74,1.026767,338000.0
2000-01-31,6.18,6.19,6.18,6.19,1.1072629999999999,372500.0
2000-02-01,6.58,6.68,6.58,6.68,1.194914,72000.0
2000-02-02,7.21,7.21,7.21,7.21,1.28972,26500.0
2000-02-03,7.78,7.78,7.78,7.78,1.391681,71000.0
2000-02-04,8.4,8.4,8.4,8.4,1.502586,90500.0
2000-02-07,9.07,9.07,7.86,7.95,1.422091,2919500.0
2000-02-08,8.2,8.4,7.5,7.74,1.384526,1300000.0
2000-02-09,7.91,7.96,7.13,7.37,1.318341,641500.0
2000-02-10,7.62,7.95,7.3,7.95,1.422091,1025000.0
2000-02-11,8.54,8.58,8.2,8.3,1.4846979999999999,3139500.0
2000-02-14,8.96,8.96,7.64,7.64,1.366638,1199500.0
2000-02-15,7.4,7.58,7.07,7.17,1.282565,755000.0
2000-02-16,7.2,7.74,7.2,7.66,1.3702159999999999,328500.0
2000-02-17,7.8,7.86,7.46,7.5,1.341595,282000.0
2000-02-18,7.4,7.55,6.91,7.05,1.261099,448500.0
2000-02-21,7.49,7.6,7.1,7.19,1.286142,360500.0
2000-02-22,7.44,7.5,6.7,6.92,1.237845,331500.0
2000-02-23,6.78,7.14,6.6,6.74,1.205646,227500.0
2000-02-24,6.8,7.27,6.6,7.27,1.300452,367000.0
2000-02-25,7.82,7.84,7.05,7.83,1.400625,681000.0
2000-02-28,8.45,8.45,7.6,7.94,1.420302,812000.0
2000-02-29,8.39,8.4,7.32,7.32,1.309397,1267500.0
2000-03-01,7.55,7.9,7.2,7.9,1.413147,358000.0
2000-03-02,8.0,8.1,7.42,7.47,1.336228,401500.0
2000-03-03,7.3,7.38,6.88,7.08,1.266465,505000.0
2000-03-06,7.6,7.6,6.86,6.99,1.250366,258500.0
2000-03-07,7.1,7.1,6.52,6.69,1.196703,338500.0
2000-03-08,6.6,6.7,6.16,6.16,1.101896,281000.0
2000-03-09,5.81,6.09,5.67,5.67,1.014246,197500.0
2000-03-10,5.35,5.7,5.22,5.7,1.0196120000000002,427000.0
2000-03-13,6.02,6.15,5.3,5.53,0.989203,230255.0
2000-03-14,5.6,5.97,5.54,5.96,1.0661209999999999,241300.0
2000-03-15,5.74,6.1,5.74,5.96,1.0661209999999999,151005.0
2000-03-16,5.86,6.42,5.71,6.07,1.085798,543925.0
2000-03-17,6.07,6.07,6.07,6.07,1.085798,0.0
2000-03-20,6.07,6.07,6.07,6.07,1.085798,0.0
2000-03-21,5.7,6.55,5.7,6.32,1.130517,119000.0
2000-03-22,6.4,6.46,6.2,6.38,1.14125,150505.0
2000-03-23,6.5,6.54,6.01,6.23,1.1144180000000001,158000.0
2000-03-24,6.1,6.38,6.0,6.11,1.092953,338495.0
2000-03-27,6.58,6.58,6.14,6.2,1.1090520000000001,116500.0
2000-03-28,6.37,6.6,6.12,6.6,1.180603,95125.0
2000-03-29,6.6,7.12,6.6,7.1,1.270043,145000.0
2000-03-30,7.5,7.65,7.0,7.45,1.332651,173870.0
2000-03-31,7.2,8.04,7.2,7.91,1.414935,327505.0
2000-04-03,8.5,8.54,7.4,7.8,1.3952579999999999,480885.0
2000-04-04,7.5,7.6,7.18,7.18,1.284353,123115.0
2000-04-05,7.15,7.4,6.61,6.97,1.246789,336750.0
2000-04-06,6.93,7.0,6.5,6.78,1.212802,124220.0
2000-04-07,6.85,7.32,6.8,7.32,1.309397,198625.0
2000-04-10,7.89,7.89,7.23,7.5,1.341595,216500.0
2000-04-11,7.3,7.48,7.18,7.47,1.336228,183500.0
2000-04-12,7.74,7.8,7.2,7.26,1.298664,89500.0
2000-04-13,7.4,7.4,6.97,7.0,1.252155,115875.0
2000-04-14,7.0,7.0,7.0,7.0,1.252155,0.0
2000-04-17,6.6,6.94,6.45,6.81,1.2181680000000001,128385.0
