Date,Open,High,Low,Close,Adj Close,Volume
2001-04-06,144.899994,144.899994,144.899994,144.899994,87.785774,50000.0
2001-04-09,,,,,,
2001-04-10,,,,,,
2001-04-11,,,,,,
2001-04-12,,,,,,
2001-04-13,,,,,,
2001-04-16,,,,,,
2001-04-17,,,,,,
2001-04-18,,,,,,
2001-04-19,130.0,130.0,130.0,130.0,78.758797,220600.0
2001-04-20,,,,,,
2001-04-23,,,,,,
2001-04-24,,,,,,
2001-04-25,135.449997,135.449997,135.449997,135.449997,82.0606,200025.0
2001-04-26,157.100006,157.100006,157.100006,157.100006,95.176971,40000.0
2001-04-27,,,,,,
2001-04-30,,,,,,
2001-05-01,,,,,,
2001-05-02,,,,,,
2001-05-03,,,,,,
2001-05-04,,,,,,
2001-05-07,,,,,,
2001-05-08,,,,,,
2001-05-09,,,,,,
2001-05-10,,,,,,
2001-05-11,,,,,,
2001-05-14,,,,,,
2001-05-15,,,,,,
2001-05-16,,,,,,
2001-05-17,,,,,,
2001-05-18,,,,,,
2001-05-21,,,,,,
2001-05-22,,,,,,
2001-05-23,,,,,,
2001-05-24,,,,,,
2001-05-25,,,,,,
2001-05-28,140.5,140.5,140.5,140.5,85.120071,200000.0
2001-05-29,,,,,,
2001-05-30,,,,,,
2001-05-31,,,,,,
2001-06-01,,,,,,
2001-06-04,,,,,,
2001-06-05,132.199997,132.199997,132.199997,132.199997,80.091629,199200.0
2001-06-06,,,,,,
2001-06-07,,,,,,
2001-06-08,,,,,,
2001-06-11,,,,,,
2001-06-12,144.0,144.0,144.0,144.0,87.240509,240000.0
2001-06-13,,,,,,
2001-06-14,,,,,,
2001-06-15,143.0,143.0,143.0,143.0,86.634674,88979.0
2001-06-18,141.0,141.0,141.0,141.0,85.422997,199200.0
2001-06-19,,,,,,
2001-06-20,144.0,144.0,144.0,144.0,87.240509,25000.0
2001-06-21,,,,,,
2001-06-22,,,,,,
2001-06-25,,,,,,
2001-06-26,,,,,,
2001-06-27,,,,,,
2001-06-28,,,,,,
2001-06-29,,,,,,
2001-07-02,146.0,148.75,143.0,146.0,88.452164,945.0
2001-07-03,150.0,150.0,145.0,147.899994,89.60327099999999,4671.0
2001-07-04,149.399994,150.0,145.399994,148.899994,90.209099,5061.0
2001-07-05,149.0,150.0,145.0,149.649994,90.663475,4705.0
2001-07-06,148.0,150.0,145.0,148.600006,90.027344,5990.0
2001-07-09,145.050003,148.800003,145.050003,146.199997,88.573341,1204.0
2001-07-10,145.050003,147.75,142.25,142.899994,86.574081,50230.0
2001-07-11,144.0,144.5,142.0,143.649994,87.028465,21950.0
2001-07-12,143.0,144.0,142.0,142.399994,86.271164,15631.0
2001-07-13,,,,,,
2001-07-16,147.899994,155.0,146.0,153.850006,93.207993,176212.0
2001-07-17,151.25,152.0,147.300003,151.449997,91.75399,39921.0
2001-07-18,150.050003,152.899994,150.0,150.300003,91.057281,21280.0
2001-07-19,150.199997,152.5,149.0,152.100006,92.147774,28630.0
2001-07-20,153.0,153.0,150.149994,152.300003,92.26894399999999,42637.0
2001-07-23,,,,,,
2001-07-24,151.899994,156.0,151.199997,155.449997,94.17731500000001,13825.0
2001-07-25,150.199997,161.75,140.5,160.899994,97.47914899999999,107227.0
2001-07-26,159.0,164.0,158.550003,163.149994,98.842285,218797.0
2001-07-27,164.300003,169.399994,161.0,162.25,98.297028,36697.0
2001-07-30,164.75,167.0,161.0,166.850006,101.083878,73973.0
2001-07-31,164.75,165.0,160.0,163.100006,98.81197399999999,23867.0
2001-08-01,160.0,163.75,156.0,162.199997,98.266739,24225.0
2001-08-02,163.0,163.0,160.0,161.300003,97.721474,41392.0
2001-08-03,163.0,166.699997,161.899994,165.699997,100.387169,70919.0
2001-08-06,168.5,169.449997,167.100006,168.850006,102.29555500000001,55515.0
2001-08-07,166.5,169.050003,166.5,168.5,102.083496,32268.0
2001-08-08,164.050003,170.5,163.25,168.75,102.234985,28711.0
2001-08-09,169.149994,176.0,169.0,172.850006,104.718918,307518.0
2001-08-10,172.800003,181.899994,166.5,180.399994,109.292961,281876.0
2001-08-13,177.0,183.5,173.0,174.600006,105.77911399999999,39700.0
2001-08-14,173.949997,174.800003,170.0,171.300003,103.779861,47703.0
2001-08-15,,,,,,
2001-08-16,171.5,181.449997,171.5,180.449997,109.323242,293534.0
2001-08-17,179.0,186.199997,177.100006,184.600006,111.83749399999999,51593.0
2001-08-20,182.0,183.0,178.050003,179.699997,108.868889,55234.0
2001-08-21,182.050003,185.0,175.0,177.75,107.68748500000001,253441.0
2001-08-22,,,,,,
2001-08-23,178.0,191.800003,174.100006,189.050003,114.53346299999998,47654.0
2001-08-24,187.0,192.550003,182.0,182.75,110.716705,127082.0
2001-08-27,182.0,185.399994,178.75,179.899994,108.99002800000001,62645.0
2001-08-28,185.0,187.0,182.0,182.100006,110.32289899999999,68830.0
2001-08-29,185.0,188.0,182.050003,183.75,111.32251699999999,58801.0
2001-08-30,182.050003,184.949997,182.0,184.050003,111.50426499999999,32525.0
2001-08-31,182.0,184.0,181.0,182.75,110.716705,20813.0
2001-09-03,182.75,189.899994,181.0,183.800003,111.35282099999999,65130.0
2001-09-04,184.0,186.0,181.600006,182.199997,110.383476,19825.0
2001-09-05,182.050003,183.75,181.600006,182.149994,110.35316499999999,24223.0
2001-09-06,182.300003,183.0,180.0,182.149994,110.35316499999999,32339.0
2001-09-07,182.0,185.25,181.699997,182.449997,110.534927,113228.0
2001-09-10,182.050003,182.949997,182.0,182.25,110.41378,26599.0
2001-09-11,183.0,183.199997,182.0,182.399994,110.504616,12512.0
2001-09-12,174.0,180.0,167.25,176.699997,107.05138400000001,18407.0
2001-09-13,179.0,182.0,174.25,180.800003,109.535301,150692.0
2001-09-14,177.050003,179.25,173.100006,175.300003,106.203224,36618.0
2001-09-17,170.0,171.0,163.149994,165.449997,100.235718,125518.0
2001-09-18,165.0,168.0,161.0,163.850006,99.26638,28035.0
2001-09-19,163.0,170.25,162.0,169.850006,102.901413,127185.0
2001-09-20,170.0,176.5,169.100006,172.649994,104.59773299999999,106674.0
2001-09-21,170.0,172.0,169.0,170.600006,103.355774,48561.0
2001-09-24,171.0,184.699997,170.0,183.100006,110.92874099999999,47145.0
2001-09-25,180.100006,185.449997,178.0,184.649994,111.86778999999999,55058.0
2001-09-26,182.0,200.0,176.0,189.699997,114.927254,153279.0
2001-09-27,189.899994,201.0,187.0,193.899994,117.471733,171459.0
2001-09-28,,,,,,
2001-10-01,189.5,191.0,183.5,187.25,113.44296299999999,27395.0
2001-10-02,,,,,,
2001-10-03,184.0,195.0,184.0,193.800003,117.41118600000001,48595.0
2001-10-04,190.100006,195.5,188.0,188.75,114.35172299999999,38391.0
2001-10-05,187.0,187.0,177.550003,180.149994,109.14149499999999,128268.0
2001-10-08,174.350006,183.75,174.350006,180.300003,109.23238400000001,13082.0
2001-10-09,185.0,187.0,184.0,184.649994,111.86778999999999,127652.0
2001-10-10,185.949997,192.350006,185.949997,191.5,116.017746,95220.0
2001-10-11,202.899994,206.5,186.949997,187.649994,113.68526499999999,236319.0
2001-10-12,193.899994,193.899994,185.0,187.449997,113.564095,67422.0
2001-10-15,193.0,194.800003,190.25,190.75,115.56339299999999,40983.0
2001-10-16,,,,,,
2001-10-17,210.0,215.399994,201.0,205.699997,124.620628,162567.0
2001-10-18,209.80000299999998,217.0,197.0,198.350006,120.167763,257810.0
2001-10-19,201.949997,208.899994,198.199997,206.949997,125.37790700000001,109906.0
2001-10-22,209.300003,209.300003,202.0,205.149994,124.28743,132112.0
2001-10-23,207.300003,223.0,206.199997,221.05000299999998,133.92021200000002,703308.0
2001-10-24,225.0,225.0,212.850006,217.25,131.61811799999998,245652.0
2001-10-25,219.75,220.0,208.050003,211.649994,128.225357,209371.0
2001-10-26,,,,,,
2001-10-29,213.69999700000002,218.5,210.600006,215.05000299999998,130.285202,237531.0
2001-10-30,211.5,219.5,211.0,218.25,132.223892,142868.0
2001-10-31,218.0,223.600006,215.05000299999998,222.100006,134.55638100000002,205494.0
2001-11-01,224.5,241.0,223.5,239.05000299999998,144.825302,490383.0
2001-11-02,241.5,246.94999700000002,235.100006,244.25,147.975647,504481.0
2001-11-05,246.100006,250.80000299999998,238.19999700000002,247.25,149.793152,483109.0
2001-11-06,249.0,260.0,246.100006,253.25,153.428192,561562.0
2001-11-07,255.0,255.0,243.05000299999998,247.55000299999998,149.974899,232898.0
2001-11-08,244.0,246.0,228.30000299999998,231.25,140.09979199999998,387819.0
2001-11-09,231.19999700000002,238.899994,230.0,236.5,143.280396,118432.0
2001-11-12,238.69999700000002,241.399994,237.600006,240.100006,145.461411,116814.0
2001-11-13,237.0,240.0,236.05000299999998,238.55000299999998,144.522385,20613.0
2001-11-14,250.0,250.0,237.0,240.600006,145.764359,11493.0
2001-11-15,240.0,252.0,239.05000299999998,250.350006,151.671249,178938.0
2001-11-16,,,,,,
2001-11-19,254.0,275.350006,252.05000299999998,270.950012,164.15150500000001,156614.0
2001-11-20,272.0,276.399994,255.0,264.850006,160.45588700000002,126033.0
2001-11-21,264.950012,264.950012,247.5,255.25,154.639893,120002.0
2001-11-22,257.5,266.100006,255.0,258.75,156.760284,107824.0
2001-11-23,259.0,262.799988,251.0,253.19999700000002,153.397903,29409.0
2001-11-26,260.0,265.899994,257.0,260.649994,157.91136200000003,65502.0
