Date,Open,High,Low,Close,Adj Close,Volume
2005-07-12,13.0,14.0,12.03,12.16,8.081605999999999,130706350.0
2005-07-13,12.29,12.47,11.48,11.7,7.775886999999999,28784240.0
2005-07-14,11.88,11.96,11.4,11.46,7.616381,6810720.0
2005-07-15,11.56,12.88,11.25,12.35,8.207881,36693185.0
2005-07-18,12.56,13.13,12.47,12.85,8.540184,30424025.0
2005-07-19,12.98,12.98,12.62,12.81,8.5136,10596800.0
2005-07-20,12.92,12.98,12.5,12.64,8.400617,4799710.0
2005-07-21,12.76,12.8,12.4,12.46,8.280987,4090340.0
2005-07-22,12.47,12.65,12.32,12.41,8.247755999999999,2036920.0
2005-07-25,12.5,12.58,12.22,12.29,8.168004,2309675.0
2005-07-26,12.38,12.78,12.25,12.47,8.287635,5357800.0
2005-07-27,12.56,12.88,12.4,12.68,8.4272,4295745.0
2005-07-28,,,,,,
2005-07-29,12.6,12.88,12.36,12.46,8.280987,2911815.0
2005-08-01,12.58,12.88,12.55,12.68,8.4272,8027910.0
2005-08-02,12.92,14.88,12.84,14.29,9.497216,56459690.0
2005-08-03,14.37,14.56,13.63,13.92,9.251311999999999,20913080.0
2005-08-04,13.6,14.76,13.42,14.34,9.530446000000001,16780935.0
2005-08-05,14.36,14.58,14.2,14.31,9.510508999999999,6306485.0
2005-08-08,14.4,14.49,14.1,14.13,9.390879,4000950.0
2005-08-09,14.07,14.28,13.66,13.87,9.218081,3821410.0
2005-08-10,13.96,14.66,13.96,14.26,9.477278,6192565.0
2005-08-11,14.4,14.65,14.24,14.31,9.510508999999999,3296150.0
2005-08-12,14.4,14.44,14.06,14.13,9.390879,1637395.0
2005-08-16,14.31,14.31,13.81,13.85,9.204789,1783480.0
2005-08-17,13.99,14.18,13.78,13.81,9.178206,2115655.0
2005-08-18,13.98,14.08,13.65,13.74,9.131683,1427715.0
2005-08-19,13.92,13.93,13.44,13.52,8.985469,1581755.0
2005-08-22,13.7,13.7,13.25,13.33,8.859194,2464860.0
2005-08-23,13.34,13.47,12.8,12.94,8.599998,2167925.0
2005-08-24,12.99,13.04,12.8,12.93,8.593352000000001,961535.0
2005-08-25,13.0,13.48,12.9,13.1,8.706335000000001,1212875.0
2005-08-26,13.15,13.32,13.15,13.2,8.772797,1410005.0
2005-08-29,13.21,13.28,12.86,13.08,8.693043,569040.0
2005-08-30,13.2,13.44,13.14,13.28,8.825965,698700.0
2005-08-31,13.4,13.7,13.23,13.42,8.919008999999999,1763205.0
2005-09-01,13.48,13.68,13.34,13.41,8.912363000000001,496810.0
2005-09-02,13.59,14.76,13.18,14.1,9.370941,6515410.0
2005-09-05,14.29,14.29,13.63,13.67,9.08516,1294355.0
2005-09-06,13.8,14.31,13.65,13.78,9.158267,2002880.0
2005-09-08,13.98,13.98,13.68,13.85,9.204789,1081995.0
2005-09-09,13.92,14.69,13.72,14.55,9.670013,8854745.0
2005-09-12,14.7,14.8,14.22,14.33,9.5238,2991065.0
2005-09-13,14.87,14.87,14.15,14.31,9.510508999999999,2470315.0
2005-09-14,14.47,14.7,14.01,14.3,9.503862,4660385.0
2005-09-15,14.47,14.47,14.2,14.22,9.450694,1349085.0
2005-09-16,14.38,14.38,14.1,14.14,9.397526,884720.0
2005-09-19,14.23,14.66,13.82,13.92,9.251311999999999,1538010.0
2005-09-20,14.0,14.08,13.6,13.75,9.138328999999999,1380445.0
2005-09-21,13.8,13.81,12.7,13.06,8.679751,7196730.0
2005-09-22,13.06,13.1,12.7,12.78,8.493661,2707570.0
2005-09-23,12.85,13.38,12.27,12.57,8.354094,4277720.0
2005-09-26,12.8,13.33,12.8,13.0,8.639874,2727610.0
2005-09-27,13.18,13.36,13.02,13.27,8.819319,1602380.0
2005-09-28,13.44,13.98,13.44,13.73,9.125036,2517800.0
2005-09-29,13.85,13.88,13.4,13.51,8.978824000000001,1512765.0
2005-09-30,13.65,13.65,13.04,13.3,8.839255999999999,6542550.0
2005-10-03,13.2,13.6,13.0,13.32,8.852547999999999,705540.0
2005-10-04,13.54,13.56,13.36,13.44,8.932300999999999,983235.0
2005-10-05,13.5,13.92,13.34,13.54,8.998763,1928795.0
2005-10-06,13.4,14.3,13.3,13.67,9.08516,6889130.0
2005-10-07,13.86,14.09,13.66,13.82,9.184851,3874315.0
2005-10-10,14.05,14.47,13.45,13.61,9.045283999999999,12201845.0
2005-10-11,13.7,13.8,13.37,13.46,8.945592999999999,2633820.0
